Track Name,Track ID,Artists,Artist Count,Track_Name
See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,wiz khalifa,2,see you again feat charlie puth
See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,charlie puth,2,see you again feat charlie puth
Happy,60nZcImufyMA1MKQY3dcCH,pharrell williams,1,happy
Womanizer,4fixebDZAVToLbUCuEloa2,britney spears,1,womanizer
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,harry styles,1,sign of the times
On Yo Head,2di5TT0I0zFJdqhQpBtgPb,4ourty8,1,on yo head
S&M,0C4ejWmOTMv8vuYj85mf8m,rihanna,1,sm
Sugar,2iuZJX9X9P0GKaE93xcPjk,maroon 5,1,sugar
Set Fire to the Rain,3di5hcvxxciiqwMH1jarhY,adele,1,set fire to the rain
Pump It,2ygMBIctKIAfbEBcT9065L,black eyed peas,1,pump it
Bad Liar,2RSHsoi04658QL5xgQVov3,imagine dragons,1,bad liar
BET DAT,5JCogXAhg0phRFvRcQMHyr,flight,1,bet dat
Single Ladies (Put a Ring on It),5mMjkxGijQB4JZallYrkOW,beyoncé,1,single ladies put a ring on it
Apple,19RybK6XDbAVpcdxSbZL1o,charli xcx,1,apple
...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,britney spears,1,baby one more time
Royals,2dLLR6qlu5UJ5gk0dKz0h3,lorde,1,royals
Girl on Fire,4esOae7i4rqTbAu9o5Pxco,alicia keys,1,girl on fire
Camera Shy,1gFGXOA36IBAMUTK6GcjRZ,ghais guevara,1,camera shy
Party Rock Anthem,1ve0SgTZkv3wdggJLqtBYU,lmfao,3,party rock anthem
Party Rock Anthem,1ve0SgTZkv3wdggJLqtBYU,lauren bennett,3,party rock anthem
Party Rock Anthem,1ve0SgTZkv3wdggJLqtBYU,goonrock,3,party rock anthem
Run It!,7xYnUQigPoIDAMPVK79NEq,chris brown,2,run it
Run It!,7xYnUQigPoIDAMPVK79NEq,juelz santana,2,run it
Dancing in the Moonlight,1FHNctV68GUNLgXclG2DtR,toploader,1,dancing in the moonlight
Bad Day,0mUyMawtxj1CJ76kn9gIZK,daniel powter,1,bad day
Go Clear,3emQQCKlkvfoD68yXJgmiB,jaidyn hurst,1,go clear
We Found Love,0U10zFw4GlBacOy9VDGfGL,rihanna,2,we found love
We Found Love,0U10zFw4GlBacOy9VDGfGL,calvin harris,2,we found love
Firework,0kUMtZVaYb7EETkBdrEXXA,katy perry,1,firework
