Track Name,Track ID,Artists,Artist Count
S&M Remix,44FAj28ivN0HJ0xVYwQ9nL,"rihanna, britney spears",2
Work from Home (feat. Ty Dolla $ign),1JsUAmsjNz6oGuRTFG93qH,"fifth harmony, ty dolla $ign",2
Woman Like Me (feat. Nicki Minaj),6rrTr2HEAzlpC4KWZxF3S1,"little mix, nicki minaj",2
God is a woman,5OCJzvD7sykQEKHH7qAC3C,ariana grande,1
positions,35mvY5S1H3J2QZyna3TFe0,ariana grande,1
No Scrubs,1KGi9sZVMeszgZOWivFpxs,tlc,1
Prisoner (feat. Dua Lipa),2Oycxb8QbPkpHTo8ZrmG0B,"miley cyrus, dua lipa",2
Lose My Breath,2n4uOdMHzEvcZ0KP7iQnay,destiny's child,1
Hit 'Em Up Style (Oops!),4zYTZvtcww7OWKie7fxA9E,blu cantrell,1
What a Girl Wants,5bGmuxShUba9maPswDnhCs,christina aguilera,1
"Bills, Bills, Bills",1Oi2zpmL81Q0yScF1zxaC0,destiny's child,1
Genie In a Bottle,11mwFrKvLXCbcVGNxffGyP,christina aguilera,1
Rich Girl,2Y2q7PkD7lvuWr8YaZfWuv,"gwen stefani, eve",2
Glamorous,6vVfNqiMSku4FrqsqhurBK,"fergie, ludacris",2
"Jumpin', Jumpin'",4pmc2AxSEq6g7hPVlJCPyP,destiny's child,1
Round Round,5O2Ft5ENCfAh6JCgykJs76,sugababes,1
Say My Name,7H6ev70Weq6DdpZyyTmUXk,destiny's child,1
Express Yourself,6ioBgySxoeQKALvAeLEmId,madonna,1
Say It Right,2aI21FnmY7TJVKeMaoQZ0t,nelly furtado,1
My Girlfriends Are My Boyfriend (feat. Saweetie),3Ge1KFkRXKJgPz3keyQWaw,"demi lovato, saweetie",2
Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,"doja cat, sza",2
Built This Way ((Slow Remix)),4qdeY9W7NYLSHlF3nX43TW,samantha ronson,1
All Night,19EW7iS3wXlKqgWIdttGXN,icona pop,1
good 4 u,4ZtFanR9U6ndgddUvNcjcG,olivia rodrigo,1
Feeling Myself,4vgTAdLit4VNnxZ7YK06NW,"nicki minaj, beyoncé",2
Maneater,4wH4dJgrsxONID6KS2tDQM,nelly furtado,1
Black Magic,6rmXhRIemCTPyMYZRDN7Qg,little mix,1
Move,1bmtVglfmSQWfKjgPyERJ8,little mix,1
Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,marina,1
Primadonna,4sOX1nhpKwFWPvoMMExi3q,marina,1
