Track Name,Track ID,Artists,Artist Count
pump it,2ygMBIctKIAfbEBcT9065L,black eyed peas,1
bad liar,2RSHsoi04658QL5xgQVov3,imagine dragons,1
single ladies put a ring on it,5mMjkxGijQB4JZallYrkOW,beyoncé,1
camera shy,1gFGXOA36IBAMUTK6GcjRZ,ghais guevara,1
baby one more time,3MjUtNVVq3C8Fn0MP3zhXa,britney spears,1
apple,19RybK6XDbAVpcdxSbZL1o,charli xcx,1
run it,7xYnUQigPoIDAMPVK79NEq,chris brown,2
run it,7xYnUQigPoIDAMPVK79NEq,juelz santana,2
royals,2dLLR6qlu5UJ5gk0dKz0h3,lorde,1
link,1VQivuDScakUWIZN5dECPG,rvdent,2
link,1VQivuDScakUWIZN5dECPG,ku$h drifter,2
party rock anthem,1ve0SgTZkv3wdggJLqtBYU,lmfao,3
party rock anthem,1ve0SgTZkv3wdggJLqtBYU,lauren bennett,3
party rock anthem,1ve0SgTZkv3wdggJLqtBYU,goonrock,3
birds of a feather,6dOtVTDdiauQNBQEDOtlAB,billie eilish,1
dancing in the moonlight,1FHNctV68GUNLgXclG2DtR,toploader,1
bad day,0mUyMawtxj1CJ76kn9gIZK,daniel powter,1
go clear,3emQQCKlkvfoD68yXJgmiB,jaidyn hurst,1
we found love,0U10zFw4GlBacOy9VDGfGL,rihanna,2
we found love,0U10zFw4GlBacOy9VDGfGL,calvin harris,2
firework,0kUMtZVaYb7EETkBdrEXXA,katy perry,1
thats so true,7ne4VBA60CxGM75vw0EYad,gracie abrams,1
heat waves,3USxtqRwSYz57Ewm6wWRMp,glass animals,1
broken boi boi,4QPSbhqdI31jlL1hHI1imw,flight,1
since u been gone,3xrn9i8zhNZsTtcoWgQEAd,kelly clarkson,1
we cant stop,2y4lAQpi5VTNLu2ldeTdUH,miley cyrus,1
gangnam style 강남스타일,03UrZgTINDqvnUMbbIMhql,psy,1
beautiful,3TCauNPqFiniaYHBvEVoHG,christina aguilera,1
pulluh,3a7D2kFenQmIrLDZv91LUZ,voodoobaby,1
paparazzi,02XnQdf7sipaKBBHixz3Zp,lady gaga,1
snow hey oh,2aibwv5hGXSgw7Yru8IYTO,red hot chili peppers,1
rude,18n3RlT0UNcy2yHImHy8IT,magic!,1
deep in love,6QKajuIu0mBuiUZGII9BKn,dfl checo,1
radioactive,62yJjFtgkhUrXktIoSjgP2,imagine dragons,1
all about that bass,5jE48hhRu8E6zBDPRSkEq7,meghan trainor,1
daylight,1odExI7RdWc4BT515LTAwj,david kushner,1
americas most wanted,3xznQWxVj9bRAYAO5M4FT5,gabi sklar,1
feel it still,6QgjcU0zLnzq5OrUoSZ3OK,portugal. the man,1
one dance,1zi7xx7UVEFkmKfv06H8x0,drake,3
one dance,1zi7xx7UVEFkmKfv06H8x0,wizkid,3
one dance,1zi7xx7UVEFkmKfv06H8x0,kyla,3
teenage dream,6b4IqYnduSQl3fE5YIbYVs,katy perry,1
im really here,0x31rx6nhNEPRgJajx5dbO,4ourty8,1
whistle,3bC1ahPIYt1btJzSSEyyrF,flo rida,1
cant stop the feeling from dreamworks animations trolls,6JV2JOEocMgcZxYSZelKcc,justin timberlake,1
treat you better,3QGsuHI8jO1Rx4JWLUh9jd,shawn mendes,1
slizzy flow,4bb24qJy1jwBwvHCe6bOyA,lougotcash,3
slizzy flow,4bb24qJy1jwBwvHCe6bOyA,cash cobain,3
slizzy flow,4bb24qJy1jwBwvHCe6bOyA,bay swag,3
crazy in love feat jayz,5IVuqXILoxVWvWEPm82Jxr,beyoncé,2
crazy in love feat jayz,5IVuqXILoxVWvWEPm82Jxr,jay-z,2
the one that got away,2k3MdyqMHmfZubFg3pmtby,katy perry,1
love yourself,50kpGaPAhYJ3sGmk6vplg0,justin bieber,1
if you get lost,2eYOZJhl6KwYIr3RU3PJjm,winwel,2
if you get lost,2eYOZJhl6KwYIr3RU3PJjm,cozmoe,2
big girls dont cry personal,0lupJBVy4UQrvI4Oy3PvI7,fergie,1
roar,6F5c58TMEs1byxUstkzVeM,katy perry,1
selfish,0QosomGFiJYOxj2ViZfqng,justin timberlake,1
all i see is you,6uAEuFWeNJNjRFEC2ECduz,milky sad,1
cruel summer,1BxfuPKGuaTgP7aM0Bbdwr,taylor swift,1
uptown funk feat bruno mars,32OlwWuMpZ6b0aN2RZOeMS,mark ronson,2
uptown funk feat bruno mars,32OlwWuMpZ6b0aN2RZOeMS,bruno mars,2
somebody that i used to know,1qDrWA6lyx8cLECdZE7TV7,gotye,2
somebody that i used to know,1qDrWA6lyx8cLECdZE7TV7,kimbra,2
breathe,6xyKeaC0Y3lbsYe3WF1gOa,josh x,1
blank space,1u8c2t2Cy7UBoG4ArRcF5g,taylor swift,1
hollaback girl,0LzrhCZFXW94Y8nwtTuRlw,gwen stefani,1
girl on fire,4esOae7i4rqTbAu9o5Pxco,alicia keys,1
one down,0Ao0VNfKEv8o4raTRFAzmJ,davo,1
somewhere only we know,1SKPmfSYaPsETbRHaiA18G,keane,1
i had some help feat morgan wallen,7221xIgOnuakPdLqT0F3nP,post malone,2
i had some help feat morgan wallen,7221xIgOnuakPdLqT0F3nP,morgan wallen,2
timber,3tgZ9vmhuAY9wEoNUJskzV,pitbull,2
timber,3tgZ9vmhuAY9wEoNUJskzV,kesha,2
hello midnight,3RGtJLfjmGSIR2ZAR9nbTJ,gabi sklar,1
die for you  remix,7oDd86yk8itslrA9HRP2ki,the weeknd,2
die for you  remix,7oDd86yk8itslrA9HRP2ki,ariana grande,2
summer,6YUTL4dYpB9xZO5qExPf05,calvin harris,1
california gurls,5uOUxoxEMZQo0cFT9YWFdi,katy perry,2
california gurls,5uOUxoxEMZQo0cFT9YWFdi,snoop dogg,2
eve,77fFEJnLlmhElEELieMNtH,yellacatt,1
galway girl,0afhq8XCExXpqazXczTSve,ed sheeran,1
sk8er boi,00Mb3DuaIH1kjrwOku9CGU,avril lavigne,1
we cant be friends wait for your love,51ZQ1vr10ffzbwIjDCwqm4,ariana grande,1
cold heart  pnau remix,6zSpb8dQRaw0M1dK8PBwQz,elton john,3
cold heart  pnau remix,6zSpb8dQRaw0M1dK8PBwQz,dua lipa,3
cold heart  pnau remix,6zSpb8dQRaw0M1dK8PBwQz,pnau,3
halloween freestyle challenge,4Wq49RVjGMctR2K6avnIi2,mike g,1
treasure,55h7vJchibLdUkxdlX3fK7,bruno mars,1
diamonds,7i0jaBLpIADxqNbhAb4XFb,rihanna,1
cant feel my face,22VdIZQfgXJea34mQxlt81,the weeknd,1
dont ask me,1qqaJCS3LtdQnCHt0noTmP,young buck,2
dont ask me,1qqaJCS3LtdQnCHt0noTmP,dj paul,2
raise your glass,1gv4xPanImH17bKZ9rOveR,p!nk,1
someone you loved,2TIlqbIneP0ZY1O0EzYLlc,lewis capaldi,1
heathens,6i0V12jOa3mr6uu4WYhUBr,twenty one pilots,1
